timestamp,sender,receiver,amount_fdt,fraud_probability,threshold,verdict,shap_Avg min between sent tnx,shap_Avg min between received tnx,shap_Time Diff between first and last (Mins),shap_Sent tnx,shap_Received Tnx,shap_Number of Created Contracts,shap_Unique Received From Addresses,shap_Unique Sent To Addresses,shap_min value received,shap_max value received,shap_avg val received,shap_min val sent,shap_max val sent,shap_avg val sent,shap_min value sent to contract,shap_max val sent to contract,shap_avg value sent to contract,shap_total transactions (including tnx to create contract,shap_total Ether sent,shap_total ether received,shap_total ether sent contracts,shap_total ether balance,shap_Total ERC20 tnxs,shap_ERC20 total Ether received,shap_ERC20 total ether sent,shap_ERC20 total Ether sent contract,shap_ERC20 uniq sent addr,shap_ERC20 uniq rec addr,shap_ERC20 uniq rec contract addr,shap_ERC20 avg time between sent tnx,shap_ERC20 avg time between rec tnx,shap_ERC20 avg time between contract tnx,shap_ERC20 min val rec,shap_ERC20 max val rec,shap_ERC20 avg val rec,shap_ERC20 min val sent,shap_ERC20 max val sent,shap_ERC20 avg val sent,shap_ERC20 min val sent contract,shap_ERC20 max val sent contract,shap_ERC20 avg val sent contract,shap_has_erc20_activity,shap_sent_received_ratio,shap_unique_counterparty_ratio
2026-03-16 08:04:32 UTC,0x07A2c7d9fc1F7ead486839077384e1F055EF315b,0x1F2090207206b4d9F31bE261805bb24Adde11aEE,3.0,6.03,32.0,승인,-0.708582,0.489632,0.394288,-0.475273,0.007544,0.065204,0.330014,0.543797,0.422144,-0.326399,0.784559,0.079822,0.248881,0.029643,0.0,0.0,0.0,-0.005923,-0.10738,0.754358,0.0,0.296976,-0.110744,-0.0301,0.042457,0.0,0.042497,0.004441,0.058803,0.0,0.0,0.0,-0.318954,-0.218891,-0.023258,0.035277,-0.016938,-0.019834,0.0,0.0,0.0,-0.01849,-0.256197,0.124156
2026-03-16 08:04:51 UTC,0x07A2c7d9fc1F7ead486839077384e1F055EF315b,0x5B6D9316cCC3C211d160FD9572a029C65227a8ef,3.0,23.95,32.0,승인,-0.703639,0.499649,0.285815,-0.394931,0.040429,0.066387,0.283961,0.111706,0.084307,-0.288948,0.702616,0.094952,0.280964,0.080621,0.0,0.0,0.0,0.133006,-0.123057,0.679355,0.0,2.655137,-0.126034,-0.018361,0.039906,0.0,0.038762,0.002188,0.113478,0.0,0.0,0.0,-0.373054,-0.277962,-0.023633,0.033281,-0.01853,-0.021615,0.0,0.0,0.0,-0.023578,-0.282688,0.157176
2026-03-16 08:05:52 UTC,0x07A2c7d9fc1F7ead486839077384e1F055EF315b,0xfCF2D29f15bF3cF75727503f75ed39c3D189406D,3.0,13.11,32.0,승인,-0.906474,0.574058,0.009312,-0.456844,0.005472,0.544229,0.344589,0.058682,-0.34905,-0.437128,0.694359,-0.018257,0.185339,0.035182,0.0,0.0,0.0,0.22035,0.232385,0.634007,0.0,1.058399,-0.06064,0.005079,0.028491,0.0,0.020972,0.091294,0.147386,0.0,0.0,0.0,-0.477497,-0.254517,-0.024785,0.031542,-0.018411,-0.020822,0.0,0.0,0.0,-0.028967,0.817228,0.28641
2026-03-16 08:05:58 UTC,0x07A2c7d9fc1F7ead486839077384e1F055EF315b,0xB37Eb4d89635D141acF4E186c0Bd9451E1228F84,3.0,10.49,32.0,승인,-0.940074,0.484167,-0.093814,-0.318535,0.11018,0.495216,0.176093,0.055659,-0.233416,-0.361333,0.346231,0.073104,0.24167,0.088802,0.0,0.0,0.0,0.208201,0.240553,0.491864,0.0,1.101285,-0.056767,0.002669,0.025329,0.0,0.020803,0.091753,0.147124,0.0,0.0,0.0,-0.475734,-0.26711,-0.031954,0.032988,-0.018496,-0.020824,0.0,0.0,0.0,-0.025556,0.807221,0.322143
2026-03-16 08:06:06 UTC,0x07A2c7d9fc1F7ead486839077384e1F055EF315b,0x5eEa91F5745FC88936EFAEf117379222887D5d0e,3.0,3.97,32.0,승인,-0.55885,0.489025,0.892956,-0.351069,-0.23631,0.06598,0.093528,0.130969,1.048156,0.232074,0.097496,0.044859,0.361981,0.096081,0.0,0.0,0.0,-0.376555,-0.081497,0.567062,0.0,0.450169,-0.193528,-0.010203,0.028901,0.0,0.038416,0.01049,0.033838,0.0,0.0,0.0,-0.231751,-0.251537,-0.02282,0.027361,-0.017735,-0.02135,0.0,0.0,0.0,-0.024765,-0.355619,-0.299261
2026-03-16 08:06:14 UTC,0x07A2c7d9fc1F7ead486839077384e1F055EF315b,0x3b9c252E2Fc541f65f2318C38b96B2De703Dc526,3.0,4.38,32.0,승인,-0.495464,0.448727,0.940063,-0.314173,-0.453059,0.04289,-0.281731,0.144061,1.058427,0.001348,0.516503,0.063056,0.252586,-0.055949,0.0,0.0,0.0,-0.261855,-0.191895,0.542345,0.0,0.691804,-0.168141,0.004881,0.029659,0.0,0.038307,0.002251,0.042834,0.0,0.0,0.0,-0.232435,-0.253784,-0.01974,0.029104,-0.017075,-0.02224,0.0,0.0,0.0,-0.02576,-0.204599,-0.071984
2026-03-16 08:06:20 UTC,0x07A2c7d9fc1F7ead486839077384e1F055EF315b,0xe84c6b0a70c1c566DBF172d2A28C78cF307C98BE,3.0,1.02,32.0,승인,-0.790098,0.510595,0.603655,-0.605386,-0.435554,0.292285,-0.20337,0.123079,0.159821,-0.020417,0.359597,0.109784,0.098878,0.037781,0.0,0.0,0.0,-0.440554,-0.167507,-0.538692,0.0,0.990201,-0.18684,-0.014033,0.023413,0.0,0.019837,0.104758,0.102803,0.0,0.0,0.0,-0.407598,-0.217848,-0.027998,0.029437,-0.020284,-0.021919,0.0,0.0,0.0,-0.030139,0.882249,-0.036912
2026-03-16 08:06:27 UTC,0x07A2c7d9fc1F7ead486839077384e1F055EF315b,0xCf58300Fe2A2BB1F85332aBF4218b5081D072789,3.0,69.26,32.0,차단,-0.829274,0.586128,0.961027,-0.405247,-0.109758,0.477535,0.402249,0.14605,1.104933,-0.305613,1.343295,-0.029531,0.266194,0.148873,0.0,0.0,0.0,0.175994,-0.052564,0.567243,0.0,0.968558,-0.043912,-0.006831,0.0285,0.0,0.021559,0.027654,0.144107,0.0,0.0,0.0,-0.312027,-0.37891,-0.023946,0.031767,-0.016807,-0.02197,0.0,0.0,0.0,-0.013555,0.628886,0.194484
2026-03-16 08:06:35 UTC,0x07A2c7d9fc1F7ead486839077384e1F055EF315b,0x19aBB9b9cDdb9271438B822f0a034feAaa382F63,3.0,9.22,32.0,승인,-0.833709,0.365189,1.009755,-0.558461,-0.165661,0.316278,0.463588,0.140528,0.662698,-0.118414,0.388731,-0.089347,0.211733,-0.190041,0.0,0.0,0.0,-0.017088,-0.117109,0.414418,0.0,0.749337,-0.162025,-0.029469,0.025286,0.0,0.019006,0.036559,0.111506,0.0,0.0,0.0,-0.319148,-0.386804,-0.029874,0.027429,-0.018178,-0.022301,0.0,0.0,0.0,-0.02719,0.605426,0.113295
